Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,7/1/2025,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.509,71.635,74.141,74.496
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.309,64.286,65.246,65.498
Gibraltar,GIB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.07,80.274,83.517,83.553
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.35,59.373,60.432,60.74
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.418,63.847,64.859,65.86
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.343,61.653,63.605,64.085
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.141,62.447,63.355,63.707
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.28780488,80.08292683,80.78780488,81.53658537
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.019,74.522,75.151,75.205
Greenland,GRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.85073171,71.81390244,71.5404878,71.5497561
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.971,67.858,71.206,72.602
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.529,75.434,77.102,77.209
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.751,64.323,69.888,70.18
High income,HIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.20435169,78.80005645,79.43132422,80.15001512
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,85.49634146,85.53268293,83.66097561,85.24731707
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.864,69.492,72.715,72.884
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.07263197,62.53137357,63.84044586,64.71590542
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.52439024,76.42439024,77.57560976,78.47317073
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.773,62.613,63.948,64.936
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.4195122,74.06585366,75.86829268,76.77073171
IBRD only,IBD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.29542289,71.97452294,74.25156135,74.52096995
IDA & IBRD total,IBT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.74915656,69.66825993,71.67792224,72.00082092
IDA total,IDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.80227499,63.47737993,64.88229029,65.45352231
IDA blend,IDB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.81800661,60.87653574,62.12886414,62.46216433
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.817,67.452,70.925,71.146
IDA only,IDX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.41147907,64.87646341,66.36006053,67.05383189
Isle of Man,IMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.591,80.42,80.956,80.999
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.156,67.282,71.698,72.003
Not classified,INX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.45609756,82.25365854,82.5097561,82.86097561
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.141,73.752,76.799,77.654
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.651,70.704,72.037,72.324
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.06341463,83.16585366,82.1195122,82.60731707
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.64878049,82.5,82.7,83.19512195
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.19512195,82.64634146,82.7,83.7
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.452,69.085,71.481,71.479
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.583,74.204,77.088,77.814
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.56,84.44560976,83.99634146,84.04121951
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.195,70.131,73.503,74.402
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.596,61.225,63.549,63.646
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.8,71.9,72.04878049,72.24878049
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.059,69.301,70.528,70.668
Kiribati,KIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.205,64.148,66.269,66.473
St. Kitts and Nevis,KNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.181,69.271,70.313,72.145
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.42682927,83.52682927,82.6804878,83.42926829
Kuwait,KWT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.76097561,78.73658537,80.58780488,83.18780488
Latin America & Caribbean (excluding high income),LAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.87592173,71.43770164,74.48972626,75.49860133
Lao PDR,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.339,67.807,68.715,68.964
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.299,73.65,78.003,77.817
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.267,61.166,61.934,62.163
Libya,LBY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.388,72.062,74.462,69.339
St. Lucia,LCA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.308,69.119,72.67,72.697
Latin America & Caribbean,LCN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.18893402,71.8141668,74.64719894,75.64352933
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.83235854,64.26734233,65.76318576,66.51610026
Low income,LIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.8180995,62.37998872,63.45831028,64.51789579
Liechtenstein,LIE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.65853659,84.40243902,84.12195122,84.84146341
Sri Lanka,LKA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.928,76.278,77.3,77.483
Lower middle income,LMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.04035634,66.3662903,69.30109468,69.59637466
Low & middle income,LMY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.74868001,69.67178439,71.68528188,71.97400488
Lesotho,LSO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.133,54.209,56.812,57.375
Late-demographic dividend,LTE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.69371478,76.30608833,76.95458025,77.13012054
Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.02926829,74.03658537,75.64390244,76.98780488
Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.14390244,82.59756098,82.94634146,83.35853659
Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.18536585,72.9804878,74.27804878,75.67804878
"Macao SAR, China",MAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.12926829,83.72926829,83.0804878,83.1804878
St. Martin (French part),MAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.085,80.206,80.236,80.224
Morocco,MAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.133,73.385,75.161,75.313
Monaco,MCO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,86.089,85.113,85.746,86.372
Moldova,MDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.914,68.991,71.546,71.198
Madagascar,MDG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.706,62.516,63.068,63.632
Maldives,MDV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.713,78.052,80.76,81.041
