Country Name,Happiness score_2020,upperwhisker_2020,lowerwhisker_2020,Logged GDP per capita_2020,Social support_2020,Healthy life expectancy_2020,Freedom to make life choices_2020,Generosity_2020,Perceptions of corruption_2020,Happiness score_2021,upperwhisker_2021,lowerwhisker_2021,Logged GDP per capita_2021,Social support_2021,Healthy life expectancy_2021,Freedom to make life choices_2021,Generosity_2021,Perceptions of corruption_2021,Happiness score_2022,upperwhisker_2022,lowerwhisker_2022,Logged GDP per capita_2022,Social support_2022,Healthy life expectancy_2022,Freedom to make life choices_2022,Generosity_2022,Perceptions of corruption_2022,Happiness score_2023,upperwhisker_2023,lowerwhisker_2023,Logged GDP per capita_2023,Social support_2023,Healthy life expectancy_2023,Freedom to make life choices_2023,Generosity_2023,Perceptions of corruption_2023,Internet Users_2020,Internet Users_2021,Internet Users_2022,Internet Users_2023,GDP_2020,GDP_2021,GDP_2022,GDP_2023,Education Expenditure_2020,Education Expenditure_2021,Education Expenditure_2022,Education Expenditure_2023,Healthcare Expenditure_2020,Healthcare Expenditure_2021,Healthcare Expenditure_2022,Healthcare Expenditure_2023,Unemployment Rate_2020,Unemployment Rate_2021,Unemployment Rate_2022,Unemployment Rate_2023,Life Expectancy_2020,Life Expectancy_2021,Life Expectancy_2022,Life Expectancy_2023,Population in Urban Areas_2020,Population in Urban Areas_2021,Population in Urban Areas_2022,Population in Urban Areas_2023
Slovenia,6.363399982,6.449328899,6.277471066,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,6.461,6.546,6.376,10.529,0.948,71.4,0.949,-0.101,0.806,6.63,6.718,6.542,1.81,1.249,0.769,0.685,0.118,0.115,6.65,6.75,6.55,10.588,0.951,71.052,0.913,0.014,0.771,86.6,89.0,88.9,90.4,25392.06511,29187.36938,28373.83823,32610.11092,5.383739948,5.365260124,0.0,0.0,9.42807865,9.48055363,9.60507679,9.41330814,4.971,4.744,4.011,3.652,80.53170732,80.67560976,81.28292683,81.97804878,0.0,0.0,0.0,0.0
El Salvador,6.34829998,6.462466717,6.234133244,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906,6.061,6.188,5.933,9.054,0.762,66.402,0.888,-0.11,0.688,6.12,6.25,5.99,1.265,0.768,0.607,0.666,0.089,0.212,6.122,6.257,5.986,9.089,0.755,65.597,0.918,-0.108,0.62,54.6,61.8,65.5,67.7,3997.192796,4642.607431,5074.602102,5365.444914,3.660880089,3.577660084,3.256340027,3.172189951,8.95105076,10.12668991,9.84079742,0.0,5.008,4.327,2.999,2.992,70.244,69.941,71.969,72.099,17.73574973,17.70050491,17.68510485,17.68809045
Kosovo,6.325200081,6.427544117,6.222856045,9.204429626,0.820726514,63.88555527,0.861535907,0.190933764,0.922328293,6.372,6.487,6.257,9.318,0.821,63.813,0.869,0.257,0.917,6.455,6.571,6.339,1.362,0.949,0.569,0.599,0.309,0.035,6.368,6.485,6.25,9.359,0.844,65.195,0.861,0.259,0.866,0.0,0.0,0.0,0.0,4310.890655,5270.429653,5290.947472,6221.203652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.212,74.981,77.623,78.033,0.0,0.0,0.0,0.0
Panama,6.304800034,6.421860695,6.187739372,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,6.18,6.323,6.036,10.35,0.896,69.652,0.872,-0.166,0.856,6.309,6.464,6.154,1.715,1.107,0.709,0.592,0.049,0.051,6.265,6.424,6.105,10.305,0.896,68.95,0.855,-0.133,0.878,70.0,77.0,77.7,78.0,13290.56083,15509.80691,17332.43607,18686.4051,4.302840233,3.711410046,3.366930008,0.0,10.21630001,9.13571072,8.46561432,0.0,14.663,10.177,8.086,6.544,76.33,77.004,79.324,79.594,43.33048934,43.70319913,44.03687716,44.33668651
Uzbekistan,6.257599831,6.36388588,6.151313782,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,6.179,6.312,6.045,8.836,0.918,65.255,0.97,0.311,0.515,6.063,6.178,5.948,1.219,1.092,0.6,0.716,0.283,0.24,6.014,6.13,5.899,8.948,0.875,65.301,0.938,0.23,0.638,71.1,76.6,83.9,89.0,1978.280519,2258.519641,2578.666894,2878.968793,4.948036671,5.368288994,5.234771729,5.472876072,6.71439123,7.69774151,7.36325455,0.0,5.293,5.364,4.49,4.46,71.461,71.681,72.147,72.388,7.495245393,7.43248918,7.366442414,7.301751889
Chile,6.228499889,6.318118572,6.138881207,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,6.172,6.262,6.081,10.071,0.882,70.0,0.742,-0.044,0.83,6.172,6.262,6.082,1.651,1.08,0.748,0.46,0.124,0.069,6.334,6.424,6.243,10.114,0.889,70.3,0.792,-0.011,0.823,87.5,90.2,93.5,94.5,13114.81547,16206.83255,15405.61658,17067.03648,5.629930019,4.999239922,0.0,0.0,9.68910599,9.68593311,10.06172848,10.09532642,10.934,9.281,8.249,9.013,79.349,78.876,79.176,81.167,34.93549304,35.0096529,35.06841086,35.11597712
Bahrain,6.227300167,6.387789249,6.066811085,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,6.647,6.779,6.514,10.669,0.862,69.495,0.925,0.089,0.722,6.647,6.779,6.514,1.854,1.029,0.625,0.693,0.199,0.155,6.173,6.369,5.977,10.776,0.844,65.825,0.944,0.117,0.737,99.7,100.0,100.0,100.0,24342.84446,27147.80839,30470.52193,29290.12842,2.552374601,2.221358061,1.98779726,0.0,4.7196188,4.49223804,3.83745313,0.0,1.781,1.541,1.326,1.154,78.683,78.083,80.992,81.284,0.0,0.0,0.0,0.0
Lithuania,6.215499878,6.302118301,6.128881454,10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,0.809583843,6.255,6.344,6.167,10.499,0.935,67.906,0.773,-0.203,0.826,6.446,6.535,6.356,1.804,1.204,0.659,0.496,0.053,0.077,6.763,6.849,6.677,10.568,0.939,67.397,0.748,-0.145,0.805,83.1,86.9,87.7,88.5,20428.64782,23870.45949,25085.78406,27786.00578,4.508590221,4.254909992,0.0,0.0,7.47439718,7.75970221,7.24335003,7.29381466,8.487,7.112,5.955,6.841,75.02926829,74.03658537,75.64390244,76.98780488,0.0,0.0,0.0,0.0
Poland,6.186299801,6.255880356,6.116719246,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021,6.166,6.245,6.087,10.382,0.898,69.702,0.841,-0.165,0.735,6.123,6.205,6.04,1.758,1.174,0.712,0.523,0.124,0.14,6.26,6.343,6.177,10.453,0.925,69.049,0.765,-0.031,0.736,83.2,85.4,86.9,86.4,16150.9291,18635.50888,18891.21353,22145.26431,4.852650166,4.673039913,0.0,0.0,6.49677992,6.43857718,6.39626455,7.00451565,3.155,3.268,2.811,2.743,76.4,75.35121951,77.15609756,78.50731707,4.753339851,4.839222706,4.873565349,4.89955217
Colombia,6.163400173,6.274102688,6.052697659,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,6.012,6.132,5.892,9.557,0.847,68.001,0.837,-0.135,0.841,5.781,5.903,5.659,1.452,0.929,0.72,0.545,0.087,0.077,5.63,5.747,5.514,9.584,0.822,69.35,0.804,-0.104,0.834,69.8,73.0,72.8,77.3,5339.687114,6222.621644,6680.445069,7000.836605,0.0,0.0,0.0,0.0,8.71432114,9.01772404,7.57361269,7.69168758,15.983,13.898,10.547,9.594,74.757,72.698,76.508,77.725,44.2970439,44.40370044,44.48976751,44.51831451
