Country Name,Internet Users_2020,Internet Users_2021,Internet Users_2022,Internet Users_2023,GDP_2020,GDP_2021,GDP_2022,GDP_2023,Education Expenditure_2020,Education Expenditure_2021,Education Expenditure_2022,Education Expenditure_2023,Healthcare Expenditure_2020,Healthcare Expenditure_2021,Healthcare Expenditure_2022,Healthcare Expenditure_2023,Unemployment Rate_2020,Unemployment Rate_2021,Unemployment Rate_2022,Unemployment Rate_2023,Life Expectancy_2020,Life Expectancy_2021,Life Expectancy_2022,Life Expectancy_2023,Population in Urban Areas_2020,Population in Urban Areas_2021,Population in Urban Areas_2022,Population in Urban Areas_2023
Burkina Faso,10.8,12.6,14.6,17,825.2370388,895.5352884,836.1183046,882.6898101,5.150865078,5.224015236,5.276512146,0,6.57714844,6.40747881,6.77182007,0,5.04,5.2,5.389,5.348,60.454,60.046,60.7,61.092,12.9446023,13.25113344,13.57582674,13.91450607
Burundi,9.17,11,11,11.1,210.0081399,214.0914554,250.6342254,192.0743054,5.321585178,4.871141911,4.821047306,0,10.71837234,8.99484253,8.39522648,0,1.03,1.118,0.915,0.921,62.569,62.101,62.882,63.651,0,0,0,0
Cabo Verde,69.4,70.3,72.8,73.5,3539.226612,3971.444092,4323.31362,4861.291841,0,6.037500858,4.672885418,0,6.63319778,7.316607,6.67440224,0,14.69,13.976,12.246,11.971,73.818,74.424,75.907,76.059,0,0,0,0
Cambodia,53.7,58,59.7,60.7,2081.739142,2167.403242,2325.0305,2429.748535,3.002350092,3.011626482,2.883492708,2.951152325,5.28458023,5.51976061,4.71089554,0,0.172,0.396,0.231,0.225,70.059,69.301,70.528,70.668,12.42270922,12.62844635,12.85594397,13.09236519
Cameroon,41.2,42,41.8,41.9,1555.603707,1672.326573,1604.87727,1736.860911,3.103901386,2.827640772,2.617684364,0,4.25051928,4.30539274,4.47835922,0,3.87,3.973,3.653,3.613,61.674,61.146,62.443,63.7,29.20822212,29.564577,29.90404039,30.21387083
Canada,92.3,93.9,94,94,43537.8393,52886.66164,56256.80073,54220.3285,4.887949944,4.748600006,4.139571667,0,13.02419472,12.41920948,11.23432541,11.22370815,9.657,7.527,5.279,5.415,81.53512195,81.51682927,81.24536585,81.64658537,45.75532787,45.99396849,45.64991558,44.80212598
Caribbean small states,0,0,0,0,11925.7574,13833.30993,17355.83666,17582.26368,4.257669926,3.00432992,2.879704237,0,6.951111176,6.544941433,5.692697744,0,9.86550042,9.538943393,8.388552353,7.821884021,71.93943593,69.92281075,72.83229211,73.171645,0,0,0,0
Cayman Islands,0,0,0,0,82338.79829,86438.44526,92202.1478,97749.5079,1.455420017,1.312530041,1.488940001,0,0,0,0,0,0,0,0,0,79.23,79.3,79.984,80.358,0,0,0,0
Central African Republic,0,0,0,0,462.8790713,492.2631428,467.359825,495.9788973,2.1446805,1.87251687,2.115091324,0,8.98555374,9.15270615,9.95509052,0,6.196,6.375,5.956,5.877,50.596,40.279,18.818,57.408,0,0,0,0
Central Europe and the Baltics,0,0,0,0,16595.93527,19239.8185,19548.69305,22699.53517,4.721590042,4.684060097,0,0,7.254796461,7.438134351,7.027525817,0,4.361481611,4.46083553,3.98390654,4.014051053,76.01627013,74.72328279,76.65229873,77.89678365,0,0,0,0
