Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,7/1/2025,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
East Asia & Pacific (excluding high income),EAP,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Early-demographic dividend,EAR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,18.77625743,18.98396051,19.17840154,19.3603922
East Asia & Pacific,EAS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Europe & Central Asia (excluding high income),ECA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,23.4751386,23.65651836,24.14443736,24.66841443
Europe & Central Asia,ECS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,20.7400376,20.88970728,21.0419651,21.17982889
Ecuador,ECU,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,27.74400414,27.95716024,28.16808804,28.36172113
"Egypt, Arab Rep.",EGY,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,23.9502706,24.06684488,24.18224844,24.24716533
Euro area,EMU,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,19.62088114,19.7033412,19.70953265,19.70982498
Eritrea,ERI,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Spain,ESP,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,25.76692867,25.91141004,25.89043358,25.72754438
Estonia,EST,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Ethiopia,ETH,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,4.03110737,4.098233066,4.169417177,4.243157359
European Union,EUU,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,17.58818503,17.6993569,17.7213916,17.73130027
Fragile and conflict affected situations,FCS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,15.31143245,15.44439141,15.63412436,15.83000179
Finland,FIN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,23.59780908,23.76381448,23.89734825,23.95786752
Fiji,FJI,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
