Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,7/1/2025,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Tunisia,TUN,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.6,68.3,70.6,72.4
Turkiye,TUR,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.7,81.4,83.4,86
Tuvalu,TUV,Individuals using the Internet (% of population),IT.NET.USER.ZS,61,73.3,73.6,74.3
Tanzania,TZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.8,19,22.1,29.1
Uganda,UGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.4,10,11.1,15.3
Ukraine,UKR,Individuals using the Internet (% of population),IT.NET.USER.ZS,75,79.2,82.7,82.4
Upper middle income,UMC,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.3,74.1,76.5,78.5
Uruguay,URY,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.5,87.6,89.9,89.9
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.3,91.3,92.2,93.1
Uzbekistan,UZB,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.1,76.6,83.9,89
St. Vincent and the Grenadines,VCT,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.4,67.4,71.7,76
"Venezuela, RB",VEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
British Virgin Islands,VGB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Virgin Islands (U.S.),VIR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
Viet Nam,VNM,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.3,74.2,78.6,78.1
Vanuatu,VUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,41.4,45.7,45.7,45.7
World,WLD,Individuals using the Internet (% of population),IT.NET.USER.ZS,58.6,61.7,63.7,65.4
Samoa,WSM,Individuals using the Internet (% of population),IT.NET.USER.ZS,51.7,56.6,57.3,58.1
Kosovo,XKX,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,
"Yemen, Rep.",YEM,Individuals using the Internet (% of population),IT.NET.USER.ZS,13.8,,,
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,72.1,75,75.5,75.7
Zambia,ZMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,24.5,32.5,32,33
Zimbabwe,ZWE,Individuals using the Internet (% of population),IT.NET.USER.ZS,29.3,37.1,37.9,38.4
